You did not select any stats, using -cdngy by default.
--total-cpu-usage-- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw 
  0   0 100   0   0|  73k  107k|   0     0 |   0     0 |  45    55 
  0   0 100   0   0|   0     0 |  76B   90B|   0     0 |  56    63 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  41    47 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  34    45 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  31    37 
  0   0 100   0   0|   0    40k|   0     0 |   0     0 |  39    51 
  0   0 100   0   0|   0  8192B|   0     0 |   0     0 |  41    48 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  33    41 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  29    34 
  0   0 100   0   0|   0     0 |   0    54B|   0     0 |  36    38 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  33    37 
  0   0 100   0   0|   0    48k|   0     0 |   0     0 |  36    53 
  0   0 100   0   0|   0    32k|   0     0 |   0     0 |  46    41 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  31    41 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  45    62 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  35    41 
  0   0 100   0   0|   0    32k|   0     0 |   0     0 |  33    41 
  0   0 100   0   0|   0     0 |  76B   90B|   0     0 |  42    49 
  0   0 100   0   0|   0  8192B|   0     0 |   0     0 |  87   114 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  31    41 
  0   0 100   0   0|   0     0 |  28B   42B|   0     0 |  33    39 
  0   0  99   0   0|   0     0 |   0     0 |   0     0 |  34    47 
  0   0 100   0   0|   0    32k|   0     0 |   0     0 |  34    44 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  34    50 
  0   0 100   0   0|   0  8192B|  46B   54B|   0     0 |  36    35 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  31    37 
  0   0 100   0   0|   0     0 |  46B   44B|   0     0 |  35    43 
  0   0 100   0   0|   0    64k|   0     0 |   0     0 |  60    64 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  27    34 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  36    46 
  0   0 100   0   0|   0  8192B|   0     0 |   0     0 |  35    44 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  36    45 
  0   0 100   0   0|   0    32k|   0     0 |   0     0 |  31    44 
  0   0 100   0   0|   0     0 |  76B   90B|   0     0 |  37    50 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  27    36 
  0   0 100   0   0|   0     0 | 282B  192B|   0     0 |  54    64 
  0   0 100   0   0|   0  8192B|   0     0 |   0     0 |  36    36 
  0   0 100   0   0|   0     0 |1276B 1290B|   0     0 | 132   178 
  0   0  99   0   0|   0    32k|2032B 1980B|   0     0 | 212   281 
  0   0 100   0   0|   0     0 | 130B   98B|   0     0 |  42    52 
  0   0 100   0   0|   0     0 | 320B  286B|   0     0 |  61    65 
 24   2  74   1   0|2160k   56k| 645B 1374B|   0     0 | 694   256 
 11   1  88   0   0|  16k 8192B|  46B  332B|   0     0 | 338   115 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  31    46 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  30    37 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  36    48 
  0   0 100   0   0|   0   104k|   0     0 |   0     0 |  37    46 
  0   0 100   0   0|   0    80k|   0     0 |   0     0 |  39    48 
